X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-2.400000e-04,8.000000e-09
0,3.40e+00,-4.35e-05,
1,3.40e+00,-2.00e-01,
2,3.40e+00,-4.35e-05,
3,3.40e+00,-4.35e-05,
4,3.40e+00,-4.35e-05,
5,3.40e+00,-4.35e-05,
6,3.40e+00,-4.35e-05,
7,3.40e+00,-4.35e-05,
8,3.40e+00,-4.35e-05,
9,3.40e+00,-4.35e-05,
10,3.40e+00,-4.35e-05,
11,3.40e+00,-2.00e-01,
12,3.40e+00,-4.35e-05,
13,3.40e+00,-4.35e-05,
14,3.40e+00,-4.35e-05,
15,3.40e+00,-4.35e-05,
16,3.40e+00,-4.35e-05,
17,3.40e+00,-4.35e-05,
18,3.40e+00,-4.35e-05,
19,3.20e+00,-4.35e-05,
20,3.40e+00,-4.35e-05,
21,3.40e+00,-4.35e-05,
22,3.40e+00,-4.35e-05,
23,3.40e+00,-4.35e-05,
24,3.40e+00,-4.35e-05,
25,3.40e+00,-4.35e-05,
26,3.40e+00,-4.35e-05,
27,3.40e+00,-4.35e-05,
28,3.40e+00,-4.35e-05,
29,3.40e+00,-2.00e-01,
30,3.40e+00,-4.35e-05,
31,3.40e+00,-4.35e-05,
32,3.40e+00,-4.35e-05,
33,3.40e+00,-4.35e-05,
34,3.40e+00,-4.35e-05,
35,3.40e+00,-2.00e-01,
36,3.40e+00,-4.35e-05,
37,3.20e+00,-4.35e-05,
38,3.40e+00,-4.35e-05,
39,3.40e+00,-4.35e-05,
40,3.40e+00,-4.35e-05,
41,3.40e+00,-4.35e-05,
42,3.40e+00,-4.35e-05,
43,3.40e+00,-4.35e-05,
44,3.40e+00,-4.35e-05,
45,3.40e+00,-4.35e-05,
46,3.40e+00,-4.35e-05,
47,3.20e+00,-4.35e-05,
48,3.40e+00,-4.35e-05,
49,3.40e+00,-4.35e-05,
50,3.40e+00,-4.35e-05,
51,3.40e+00,-4.35e-05,
52,3.40e+00,-4.35e-05,
53,3.40e+00,-4.35e-05,
54,3.40e+00,-4.35e-05,
55,3.40e+00,-4.35e-05,
56,3.40e+00,-4.35e-05,
57,3.40e+00,-4.35e-05,
58,3.40e+00,-4.35e-05,
59,3.40e+00,-4.35e-05,
60,3.40e+00,-4.35e-05,
61,3.40e+00,-4.35e-05,
62,3.40e+00,-4.35e-05,
63,3.40e+00,-4.35e-05,
64,3.40e+00,-2.00e-01,
65,3.40e+00,-4.35e-05,
66,3.40e+00,-4.35e-05,
67,3.40e+00,-4.35e-05,
68,3.40e+00,-4.35e-05,
69,3.40e+00,-4.35e-05,
70,3.40e+00,-4.35e-05,
71,3.40e+00,-4.35e-05,
72,3.40e+00,-4.35e-05,
73,3.40e+00,-4.35e-05,
74,3.40e+00,-4.35e-05,
75,3.40e+00,-4.35e-05,
76,3.40e+00,-4.35e-05,
77,3.40e+00,-4.35e-05,
78,3.40e+00,-4.35e-05,
79,3.20e+00,-4.35e-05,
80,3.40e+00,-4.35e-05,
81,3.40e+00,-4.35e-05,
82,3.40e+00,-4.35e-05,
83,3.40e+00,-4.35e-05,
84,3.40e+00,-4.35e-05,
85,3.40e+00,-4.35e-05,
86,3.40e+00,-4.35e-05,
87,3.40e+00,-4.35e-05,
88,3.40e+00,-4.35e-05,
89,3.40e+00,-4.35e-05,
90,3.40e+00,-4.35e-05,
91,3.40e+00,-4.35e-05,
92,3.40e+00,-4.35e-05,
93,3.40e+00,-4.35e-05,
94,3.40e+00,-4.35e-05,
95,3.40e+00,-4.35e-05,
96,3.40e+00,-4.35e-05,
97,3.40e+00,-4.35e-05,
98,3.40e+00,-4.35e-05,
99,3.40e+00,-2.00e-01,
100,3.40e+00,-4.35e-05,
101,3.40e+00,-4.35e-05,
102,3.40e+00,-4.35e-05,
103,3.40e+00,-4.35e-05,
104,3.40e+00,-4.35e-05,
105,3.40e+00,-2.00e-01,
106,3.40e+00,-4.35e-05,
107,3.40e+00,-4.35e-05,
108,3.40e+00,-4.35e-05,
109,3.40e+00,-4.35e-05,
110,3.40e+00,-2.00e-01,
111,3.40e+00,-4.35e-05,
112,3.40e+00,-2.00e-01,
113,3.40e+00,-4.35e-05,
114,3.40e+00,-4.35e-05,
115,3.40e+00,-4.35e-05,
116,3.40e+00,-4.35e-05,
117,3.40e+00,-2.00e-01,
118,3.40e+00,-4.35e-05,
119,3.40e+00,-4.35e-05,
120,3.40e+00,-4.35e-05,
121,3.40e+00,-4.35e-05,
122,3.40e+00,-4.35e-05,
123,3.40e+00,-4.35e-05,
124,3.40e+00,-4.35e-05,
125,3.40e+00,-4.35e-05,
126,3.40e+00,-4.35e-05,
127,3.40e+00,-4.35e-05,
128,3.40e+00,-4.35e-05,
129,3.40e+00,-4.35e-05,
130,3.40e+00,-4.35e-05,
131,3.40e+00,-4.35e-05,
132,3.40e+00,-4.35e-05,
133,3.40e+00,-4.35e-05,
134,3.40e+00,-4.35e-05,
135,3.40e+00,-4.35e-05,
136,3.40e+00,-4.35e-05,
137,3.20e+00,-4.35e-05,
138,3.40e+00,-4.35e-05,
139,3.40e+00,-4.35e-05,
140,3.40e+00,-4.35e-05,
141,3.40e+00,-4.35e-05,
142,3.40e+00,-4.35e-05,
143,3.40e+00,-4.35e-05,
144,3.40e+00,-4.35e-05,
145,3.40e+00,-4.35e-05,
146,3.40e+00,-4.35e-05,
147,3.20e+00,-4.35e-05,
148,3.40e+00,-4.35e-05,
149,3.40e+00,-4.35e-05,
150,3.40e+00,-4.35e-05,
151,3.40e+00,-4.35e-05,
152,3.40e+00,-4.35e-05,
153,3.40e+00,-4.35e-05,
154,3.40e+00,-4.35e-05,
155,3.40e+00,-4.35e-05,
156,3.40e+00,-2.00e-01,
157,3.40e+00,-2.00e-01,
158,3.40e+00,-4.35e-05,
159,3.40e+00,-4.35e-05,
160,3.40e+00,-4.35e-05,
161,3.40e+00,-4.35e-05,
162,3.40e+00,-4.35e-05,
163,3.40e+00,-2.00e-01,
164,3.40e+00,-4.35e-05,
165,3.20e+00,-4.35e-05,
166,3.40e+00,-4.35e-05,
167,3.40e+00,-4.35e-05,
168,3.40e+00,-4.35e-05,
169,3.40e+00,-4.35e-05,
170,3.40e+00,-4.35e-05,
171,3.40e+00,2.00e-01,
172,3.40e+00,-4.35e-05,
173,3.40e+00,-4.35e-05,
174,3.40e+00,-4.35e-05,
175,3.40e+00,-4.35e-05,
176,3.40e+00,-4.35e-05,
177,3.20e+00,-4.35e-05,
178,3.40e+00,-4.35e-05,
179,3.40e+00,-4.35e-05,
180,3.40e+00,-4.35e-05,
181,3.40e+00,-4.35e-05,
182,3.40e+00,-4.35e-05,
183,3.40e+00,-4.35e-05,
184,3.40e+00,-4.35e-05,
185,3.40e+00,-4.35e-05,
186,3.40e+00,-4.35e-05,
187,3.40e+00,-4.35e-05,
188,3.40e+00,-4.35e-05,
189,3.40e+00,-4.35e-05,
190,3.40e+00,-4.35e-05,
191,3.40e+00,-4.35e-05,
192,3.40e+00,-4.35e-05,
193,3.40e+00,-4.35e-05,
194,3.40e+00,-4.35e-05,
195,3.40e+00,-4.35e-05,
196,3.40e+00,-4.35e-05,
197,3.40e+00,-4.35e-05,
198,3.40e+00,-4.35e-05,
199,3.40e+00,-4.35e-05,
200,3.40e+00,-4.35e-05,
201,3.40e+00,-4.35e-05,
202,3.40e+00,-4.35e-05,
203,3.40e+00,-4.35e-05,
204,3.40e+00,-4.35e-05,
205,3.40e+00,-4.35e-05,
206,3.40e+00,-4.35e-05,
207,3.40e+00,-4.35e-05,
208,3.40e+00,-4.35e-05,
209,3.40e+00,-2.00e-01,
210,3.40e+00,-4.35e-05,
211,3.40e+00,-4.35e-05,
212,3.40e+00,-4.35e-05,
213,3.40e+00,-4.35e-05,
214,3.40e+00,-4.35e-05,
215,3.40e+00,-4.35e-05,
216,3.40e+00,-4.35e-05,
217,3.40e+00,-4.35e-05,
218,3.40e+00,-4.35e-05,
219,3.40e+00,-4.35e-05,
220,3.40e+00,-2.00e-01,
221,3.40e+00,-4.35e-05,
222,3.40e+00,-4.35e-05,
223,3.40e+00,-4.35e-05,
224,3.20e+00,-4.35e-05,
225,3.40e+00,-2.00e-01,
226,3.40e+00,-4.35e-05,
227,3.40e+00,-4.35e-05,
228,3.40e+00,-4.35e-05,
229,3.40e+00,-4.35e-05,
230,3.40e+00,-4.35e-05,
231,3.40e+00,-4.35e-05,
232,3.40e+00,-4.35e-05,
233,3.40e+00,-4.35e-05,
234,3.40e+00,-4.35e-05,
235,3.40e+00,-4.35e-05,
236,3.40e+00,-4.35e-05,
